Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
E0,18/03/00,West Ham United,Chelsea,0,0,D,0,0,D
E0,19/03/00,Arsenal,Tottenham Hotspur,2,1,H,2,1,H
E0,19/03/00,Everton,Newcastle United,0,2,A,0,0,D
E0,19/03/00,Leeds United,Wimbledon,4,1,H,3,1,H
E0,25/03/00,Aston Villa,Derby,2,0,H,1,0,H
E0,25/03/00,Bradford,Manchester United,0,4,A,0,2,A
E0,25/03/00,Chelsea,Southampton,1,1,D,0,0,D
E0,25/03/00,Liverpool,Newcastle United,2,1,H,0,0,D
E0,25/03/00,Middlesbrough,Sheffield Weds,1,0,H,1,0,H
E0,25/03/00,Sunderland,Everton,2,1,H,1,1,D
E0,25/03/00,Watford,Tottenham Hotspur,1,1,D,0,0,D
E0,26/03/00,Arsenal,Coventry,3,0,H,0,0,D
E0,26/03/00,Leicester City,Leeds United,2,1,H,1,1,D
E0,26/03/00,West Ham United,Wimbledon,2,1,H,1,0,H
E0,01/04/00,Coventry,Liverpool,0,3,A,0,2,A
E0,01/04/00,Everton,Watford,4,2,H,3,1,H
E0,01/04/00,Leeds United,Chelsea,0,1,A,0,0,D
E0,01/04/00,Manchester United,West Ham United,7,1,H,3,1,H
E0,01/04/00,Newcastle United,Bradford,2,0,H,1,0,H
E0,01/04/00,Southampton,Sunderland,1,2,A,0,1,A
E0,01/04/00,Wimbledon,Arsenal,1,3,A,1,2,A
E0,02/04/00,Derby,Leicester City,3,0,H,3,0,H
E0,03/04/00,Tottenham Hotspur,Middlesbrough,2,3,A,1,1,D
E0,05/04/00,Sheffield Weds,Aston Villa,0,1,A,0,0,D
E0,08/04/00,Bradford,Southampton,1,2,A,0,0,D
E0,08/04/00,Leicester City,Everton,1,1,D,1,1,D
E0,08/04/00,Sunderland,Wimbledon,2,1,H,0,0,D
E0,08/04/00,Watford,Derby,0,0,D,0,0,D
E0,09/04/00,Aston Villa,Leeds United,1,0,H,1,0,H
E0,09/04/00,Liverpool,Tottenham Hotspur,2,0,H,1,0,H
E0,10/04/00,Middlesbrough,Manchester United,3,4,A,1,0,H
E0,12/04/00,Chelsea,Coventry,2,1,H,0,1,A
E0,12/04/00,West Ham United,Newcastle United,2,1,H,0,0,D
E0,12/04/00,Wimbledon,Sheffield Weds,0,2,A,0,1,A
E0,15/04/00,Coventry,Middlesbrough,2,1,H,1,0,H
E0,15/04/00,Derby,West Ham United,1,2,A,0,2,A
E0,15/04/00,Everton,Bradford,4,0,H,2,0,H
E0,15/04/00,Manchester United,Sunderland,4,0,H,1,0,H
E0,15/04/00,Newcastle United,Leicester City,0,2,A,0,1,A
E0,15/04/00,Sheffield Weds,Chelsea,1,0,H,0,0,D
E0,15/04/00,Southampton,Watford,2,0,H,1,0,H
E0,15/04/00,Tottenham Hotspur,Aston Villa,2,4,A,1,0,H
E0,16/04/00,Leeds United,Arsenal,0,4,A,0,1,A
E0,16/04/00,Wimbledon,Liverpool,1,2,A,0,1,A
E0,19/04/00,Leicester City,Tottenham Hotspur,0,1,A,0,0,D
E0,21/04/00,Bradford,Derby,4,4,D,4,3,H
E0,21/04/00,Everton,Liverpool,0,0,D,0,0,D
E0,22/04/00,Aston Villa,Leicester City,2,2,D,1,1,D
E0,22/04/00,Chelsea,Middlesbrough,1,1,D,1,1,D
E0,22/04/00,Sheffield Weds,Sunderland,0,2,A,0,0,D
E0,22/04/00,Southampton,Manchester United,1,3,A,0,3,A
E0,22/04/00,Tottenham Hotspur,Wimbledon,2,0,H,2,0,H
E0,22/04/00,West Ham United,Coventry,5,0,H,2,0,H
E0,23/04/00,Newcastle United,Leeds United,2,2,D,1,2,A
E0,23/04/00,Watford,Arsenal,2,3,A,0,3,A
E0,24/04/00,Derby,Southampton,2,0,H,2,0,H
E0,24/04/00,Manchester United,Chelsea,3,2,H,2,2,D
E0,24/04/00,Sunderland,Bradford,0,1,A,0,0,D
E0,29/04/00,Aston Villa,Sunderland,1,1,D,0,0,D
E0,29/04/00,Chelsea,Liverpool,2,0,H,2,0,H
E0,29/04/00,Everton,Arsenal,0,1,A,0,1,A
E0,29/04/00,Newcastle United,Coventry,2,0,H,0,0,D
E0,29/04/00,Southampton,Leicester City,1,2,A,1,1,D
E0,29/04/00,Tottenham Hotspur,Derby,1,1,D,0,0,D
E0,29/04/00,Watford,Manchester United,2,3,A,1,0,H
E0,29/04/00,West Ham United,Middlesbrough,0,1,A,0,0,D
E0,30/04/00,Bradford,Wimbledon,3,0,H,1,0,H
E0,30/04/00,Sheffield Weds,Leeds United,0,3,A,0,1,A
E0,02/05/00,Arsenal,West Ham United,2,1,H,0,1,A
