Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,,,,,,,,,,,
D1,10/04/99,Hertha Berlin,VfB Stuttgart,2,0,H,0,0,D,,,,,,,,,,,
D1,10/04/99,Bayer Leverkusen,Eintracht Frankfurt,2,1,H,2,0,H,,,,,,,,,,,
D1,10/04/99,Nurnberg,Borussia Monchengladbach,2,0,H,1,0,H,,,,,,,,,,,
D1,10/04/99,VfL Wolfsburg,Kaiserslautern,2,1,H,1,0,H,,,,,,,,,,,
D1,11/04/99,VfL Bochum,TSV Munich 1860,2,0,H,0,0,D,,,,,,,,,,,
D1,13/04/99,Eintracht Frankfurt,VfL Wolfsburg,0,1,A,0,1,A,,,,,,,,,,,
D1,13/04/99,Kaiserslautern,Bayern Munich,2,1,H,2,1,H,,,,,,,,,,,
D1,13/04/99,Schalke 04,Hansa Rostock,1,0,H,0,0,D,,,,,,,,,,,
D1,13/04/99,VfB Stuttgart,Nurnberg,0,0,D,0,0,D,,,,,,,,,,,
D1,13/04/99,Werder Bremen,Hamburg SV,0,0,D,0,0,D,,,,,,,,,,,
D1,14/04/99,Borussia Dortmund,SC Freiburg,2,1,H,1,1,D,,,,,,,,,,,
D1,14/04/99,Hertha Berlin,Duisburg,1,3,A,0,1,A,,,,,,,,,,,
D1,14/04/99,Borussia Monchengladbach,VfL Bochum,2,2,D,0,0,D,,,,,,,,,,,
D1,14/04/99,TSV Munich 1860,Bayer Leverkusen,0,2,A,0,0,D,,,,,,,,,,,
D1,16/04/99,Bayern Munich,Eintracht Frankfurt,3,1,H,2,0,H,,,,,,,,,,,
D1,16/04/99,Hansa Rostock,Kaiserslautern,2,1,H,1,0,H,,,,,,,,,,,
D1,17/04/99,VfL Bochum,VfB Stuttgart,3,3,D,0,2,A,,,,,,,,,,,
D1,17/04/99,Duisburg,Werder Bremen,2,0,H,1,0,H,,,,,,,,,,,
D1,17/04/99,SC Freiburg,Schalke 04,0,2,A,0,0,D,,,,,,,,,,,
D1,17/04/99,Bayer Leverkusen,Borussia Monchengladbach,4,1,H,1,0,H,,,,,,,,,,,
D1,17/04/99,Nurnberg,Hertha Berlin,0,0,D,0,0,D,,,,,,,,,,,
D1,17/04/99,VfL Wolfsburg,TSV Munich 1860,1,0,H,0,0,D,,,,,,,,,,,
D1,18/04/99,Hamburg SV,Borussia Dortmund,0,0,D,0,0,D,,,,,,,,,,,
D1,23/04/99,Borussia Dortmund,Werder Bremen,2,1,H,0,1,A,,,,,,,,,,,
D1,23/04/99,VfB Stuttgart,Bayer Leverkusen,0,1,A,0,1,A,,,,,,,,,,,
D1,24/04/99,Eintracht Frankfurt,Hansa Rostock,2,2,D,0,1,A,,,,,,,,,,,
D1,24/04/99,Hertha Berlin,VfL Bochum,4,1,H,3,0,H,,,,,,,,,,,
D1,24/04/99,Kaiserslautern,SC Freiburg,0,2,A,0,1,A,,,,,,,,,,,
D1,24/04/99,Borussia Monchengladbach,VfL Wolfsburg,5,2,H,2,0,H,,,,,,,,,,,
D1,24/04/99,Nurnberg,Duisburg,0,2,A,0,1,A,,,,,,,,,,,
D1,24/04/99,Schalke 04,Hamburg SV,1,4,A,1,2,A,,,,,,,,,,,
D1,25/04/99,TSV Munich 1860,Bayern Munich,1,1,D,0,0,D,,,,,,,,,,,
D1,30/04/99,VfL Bochum,Nurnberg,0,3,A,0,1,A,,,,,,,,,,,
D1,30/04/99,SC Freiburg,Eintracht Frankfurt,2,0,H,1,0,H,,,,,,,,,,,
D1,01/05/99,Bayern Munich,Borussia Monchengladbach,4,2,H,1,1,D,,,,,,,,,,,
D1,01/05/99,Hamburg SV,Kaiserslautern,2,0,H,1,0,H,,,,,,,,,,,
D1,01/05/99,Hansa Rostock,TSV Munich 1860,4,1,H,4,0,H,,,,,,,,,,,
D1,01/05/99,Bayer Leverkusen,Hertha Berlin,2,2,D,1,1,D,,,,,,,,,,,
D1,01/05/99,VfL Wolfsburg,VfB Stuttgart,3,2,H,0,2,A,,,,,,,,,,,
D1,02/05/99,Duisburg,Borussia Dortmund,3,2,H,3,1,H,,,,,,,,,,,
D1,04/05/99,Eintracht Frankfurt,Hamburg SV,2,2,D,2,0,H,,,,,,,,,,,
D1,04/05/99,Kaiserslautern,Werder Bremen,4,0,H,1,0,H,,,,,,,,,,,
D1,04/05/99,Borussia Monchengladbach,Hansa Rostock,1,1,D,0,0,D,,,,,,,,,,,
D1,04/05/99,VfB Stuttgart,Bayern Munich,0,2,A,0,0,D,,,,,,,,,,,
D1,05/05/99,VfL Bochum,Duisburg,0,2,A,0,1,A,,,,,,,,,,,
D1,05/05/99,Hertha Berlin,VfL Wolfsburg,2,0,H,1,0,H,,,,,,,,,,,
D1,05/05/99,TSV Munich 1860,SC Freiburg,2,0,H,1,0,H,,,,,,,,,,,
D1,05/05/99,Nurnberg,Bayer Leverkusen,2,2,D,1,1,D,,,,,,,,,,,
D1,05/05/99,Schalke 04,Borussia Dortmund,1,1,D,1,1,D,,,,,,,,,,,
D1,07/05/99,Hansa Rostock,VfB Stuttgart,3,0,H,1,0,H,,,,,,,,,,,
D1,07/05/99,Werder Bremen,Eintracht Frankfurt,1,2,A,0,0,D,,,,,,,,,,,
D1,08/05/99,Borussia Dortmund,Kaiserslautern,1,0,H,1,0,H,,,,,,,,,,,
D1,08/05/99,Duisburg,Schalke 04,1,2,A,1,0,H,,,,,,,,,,,
D1,08/05/99,SC Freiburg,Borussia Monchengladbach,2,1,H,1,0,H,,,,,,,,,,,
