Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,,,,,,,,,,,,,,,,,,,,,
D1,04/03/95,Eintracht Frankfurt,Bayer Leverkusen,2,0,H,,,,,,,,,,,,,,,,,,,,,
D1,04/03/95,SC Freiburg,Dresden,3,1,H,,,,,,,,,,,,,,,,,,,,,
D1,04/03/95,Hamburg SV,Schalke 04,3,0,H,,,,,,,,,,,,,,,,,,,,,
D1,04/03/95,Kaiserslautern,Borussia Dortmund,1,0,H,,,,,,,,,,,,,,,,,,,,,
D1,04/03/95,Borussia Monchengladbach,Bayern Munich,2,2,D,,,,,,,,,,,,,,,,,,,,,
D1,05/03/95,FC Cologne,VfB Stuttgart,1,0,H,,,,,,,,,,,,,,,,,,,,,
D1,10/03/95,Bayern Munich,MSV Duisburg,1,1,D,,,,,,,,,,,,,,,,,,,,,
D1,10/03/95,Werder Bremen,SC Freiburg,5,1,H,,,,,,,,,,,,,,,,,,,,,
D1,11/03/95,Borussia Dortmund,Eintracht Frankfurt,1,1,D,,,,,,,,,,,,,,,,,,,,,
D1,11/03/95,Dresden,Borussia Monchengladbach,0,3,A,,,,,,,,,,,,,,,,,,,,,
D1,11/03/95,Karlsruher SC,Hamburg SV,2,0,H,,,,,,,,,,,,,,,,,,,,,
D1,11/03/95,Bayer Leverkusen,VfL Bochum,1,3,A,,,,,,,,,,,,,,,,,,,,,
D1,11/03/95,VfB Stuttgart,Kaiserslautern,2,2,D,,,,,,,,,,,,,,,,,,,,,
D1,11/03/95,Uerdingen,FC Cologne,0,0,D,,,,,,,,,,,,,,,,,,,,,
D1,12/03/95,Schalke 04,TSV Munich 1860,6,2,H,,,,,,,,,,,,,,,,,,,,,
D1,17/03/95,Kaiserslautern,Uerdingen,1,1,D,,,,,,,,,,,,,,,,,,,,,
D1,17/03/95,Borussia Monchengladbach,Werder Bremen,2,0,H,,,,,,,,,,,,,,,,,,,,,
D1,18/03/95,Borussia Dortmund,Bayer Leverkusen,0,3,A,,,,,,,,,,,,,,,,,,,,,
D1,18/03/95,Eintracht Frankfurt,VfB Stuttgart,2,2,D,,,,,,,,,,,,,,,,,,,,,
D1,18/03/95,FC Cologne,Schalke 04,5,1,H,,,,,,,,,,,,,,,,,,,,,
D1,18/03/95,SC Freiburg,VfL Bochum,1,2,A,,,,,,,,,,,,,,,,,,,,,
D1,18/03/95,Hamburg SV,Bayern Munich,1,1,D,,,,,,,,,,,,,,,,,,,,,
D1,18/03/95,TSV Munich 1860,Karlsruher SC,1,0,H,,,,,,,,,,,,,,,,,,,,,
D1,19/03/95,MSV Duisburg,Dresden,1,1,D,,,,,,,,,,,,,,,,,,,,,
D1,21/03/95,TSV Munich 1860,Uerdingen,1,1,D,,,,,,,,,,,,,,,,,,,,,
D1,25/03/95,Bayern Munich,TSV Munich 1860,1,0,H,,,,,,,,,,,,,,,,,,,,,
D1,25/03/95,VfL Bochum,Borussia Monchengladbach,0,2,A,,,,,,,,,,,,,,,,,,,,,
D1,25/03/95,Dresden,Hamburg SV,1,1,D,,,,,,,,,,,,,,,,,,,,,
D1,25/03/95,Karlsruher SC,FC Cologne,0,0,D,,,,,,,,,,,,,,,,,,,,,
D1,25/03/95,Bayer Leverkusen,SC Freiburg,2,4,A,,,,,,,,,,,,,,,,,,,,,
D1,25/03/95,Schalke 04,Kaiserslautern,0,1,A,,,,,,,,,,,,,,,,,,,,,
D1,25/03/95,VfB Stuttgart,Borussia Dortmund,0,0,D,,,,,,,,,,,,,,,,,,,,,
D1,25/03/95,Uerdingen,Eintracht Frankfurt,1,1,D,,,,,,,,,,,,,,,,,,,,,
D1,25/03/95,Werder Bremen,MSV Duisburg,5,1,H,,,,,,,,,,,,,,,,,,,,,
D1,31/03/95,MSV Duisburg,VfL Bochum,3,1,H,,,,,,,,,,,,,,,,,,,,,
D1,31/03/95,Eintracht Frankfurt,Schalke 04,0,3,A,,,,,,,,,,,,,,,,,,,,,
D1,01/04/95,Borussia Dortmund,Uerdingen,3,1,H,,,,,,,,,,,,,,,,,,,,,
D1,01/04/95,FC Cologne,Bayern Munich,3,1,H,,,,,,,,,,,,,,,,,,,,,
D1,01/04/95,Kaiserslautern,Karlsruher SC,0,0,D,,,,,,,,,,,,,,,,,,,,,
D1,01/04/95,Borussia Monchengladbach,SC Freiburg,1,2,A,,,,,,,,,,,,,,,,,,,,,
D1,01/04/95,TSV Munich 1860,Dresden,3,1,H,,,,,,,,,,,,,,,,,,,,,
D1,01/04/95,VfB Stuttgart,Bayer Leverkusen,4,2,H,,,,,,,,,,,,,,,,,,,,,
D1,02/04/95,Hamburg SV,Werder Bremen,0,0,D,,,,,,,,,,,,,,,,,,,,,
D1,07/04/95,VfL Bochum,Hamburg SV,0,0,D,,,,,,,,,,,,,,,,,,,,,
D1,07/04/95,Uerdingen,VfB Stuttgart,4,1,H,,,,,,,,,,,,,,,,,,,,,
D1,08/04/95,Bayern Munich,Kaiserslautern,1,1,D,,,,,,,,,,,,,,,,,,,,,
D1,08/04/95,Dresden,FC Cologne,1,3,A,,,,,,,,,,,,,,,,,,,,,
D1,08/04/95,SC Freiburg,MSV Duisburg,3,0,H,,,,,,,,,,,,,,,,,,,,,
D1,08/04/95,Karlsruher SC,Eintracht Frankfurt,1,1,D,,,,,,,,,,,,,,,,,,,,,
D1,08/04/95,Bayer Leverkusen,Borussia Monchengladbach,3,1,H,,,,,,,,,,,,,,,,,,,,,
D1,08/04/95,Schalke 04,Borussia Dortmund,0,0,D,,,,,,,,,,,,,,,,,,,,,
D1,09/04/95,Werder Bremen,TSV Munich 1860,2,0,H,,,,,,,,,,,,,,,,,,,,,
D1,13/04/95,Borussia Dortmund,Karlsruher SC,2,1,H,,,,,,,,,,,,,,,,,,,,,
D1,13/04/95,Hamburg SV,SC Freiburg,1,2,A,,,,,,,,,,,,,,,,,,,,,
D1,13/04/95,Uerdingen,Bayer Leverkusen,0,1,A,,,,,,,,,,,,,,,,,,,,,
D1,15/04/95,MSV Duisburg,Borussia Monchengladbach,0,2,A,,,,,,,,,,,,,,,,,,,,,
D1,15/04/95,Eintracht Frankfurt,Bayern Munich,2,0,H,,,,,,,,,,,,,,,,,,,,,
D1,15/04/95,FC Cologne,Werder Bremen,1,1,D,,,,,,,,,,,,,,,,,,,,,
D1,15/04/95,Kaiserslautern,Dresden,3,1,H,,,,,,,,,,,,,,,,,,,,,
D1,15/04/95,VfB Stuttgart,Schalke 04,1,1,D,,,,,,,,,,,,,,,,,,,,,
D1,16/04/95,TSV Munich 1860,VfL Bochum,4,0,H,,,,,,,,,,,,,,,,,,,,,
D1,21/04/95,VfL Bochum,FC Cologne,1,0,H,,,,,,,,,,,,,,,,,,,,,
D1,21/04/95,Karlsruher SC,VfB Stuttgart,3,1,H,,,,,,,,,,,,,,,,,,,,,
D1,21/04/95,Borussia Monchengladbach,Hamburg SV,2,1,H,,,,,,,,,,,,,,,,,,,,,
D1,22/04/95,Bayern Munich,Borussia Dortmund,2,1,H,,,,,,,,,,,,,,,,,,,,,
D1,22/04/95,Dresden,Eintracht Frankfurt,1,2,A,,,,,,,,,,,,,,,,,,,,,
D1,22/04/95,SC Freiburg,TSV Munich 1860,1,1,D,,,,,,,,,,,,,,,,,,,,,
D1,22/04/95,Bayer Leverkusen,MSV Duisburg,2,0,H,,,,,,,,,,,,,,,,,,,,,
D1,22/04/95,Schalke 04,Uerdingen,2,0,H,,,,,,,,,,,,,,,,,,,,,
D1,22/04/95,Werder Bremen,Kaiserslautern,2,2,D,,,,,,,,,,,,,,,,,,,,,
D1,28/04/95,FC Cologne,SC Freiburg,2,0,H,,,,,,,,,,,,,,,,,,,,,
D1,28/04/95,Hamburg SV,MSV Duisburg,3,0,H,,,,,,,,,,,,,,,,,,,,,
D1,29/04/95,Borussia Dortmund,Dresden,2,0,H,,,,,,,,,,,,,,,,,,,,,
D1,29/04/95,Kaiserslautern,VfL Bochum,3,1,H,,,,,,,,,,,,,,,,,,,,,
D1,29/04/95,TSV Munich 1860,Borussia Monchengladbach,2,0,H,,,,,,,,,,,,,,,,,,,,,
D1,29/04/95,Schalke 04,Bayer Leverkusen,3,2,H,,,,,,,,,,,,,,,,,,,,,
D1,29/04/95,VfB Stuttgart,Bayern Munich,0,2,A,,,,,,,,,,,,,,,,,,,,,
D1,29/04/95,Uerdingen,Karlsruher SC,0,0,D,,,,,,,,,,,,,,,,,,,,,
D1,30/04/95,Eintracht Frankfurt,Werder Bremen,0,0,D,,,,,,,,,,,,,,,,,,,,,
D1,05/05/95,MSV Duisburg,TSV Munich 1860,1,1,D,,,,,,,,,,,,,,,,,,,,,
D1,05/05/95,SC Freiburg,Kaiserslautern,4,1,H,,,,,,,,,,,,,,,,,,,,,
D1,06/05/95,Bayern Munich,Uerdingen,2,1,H,,,,,,,,,,,,,,,,,,,,,
D1,06/05/95,VfL Bochum,Eintracht Frankfurt,0,1,A,,,,,,,,,,,,,,,,,,,,,
D1,06/05/95,Dresden,VfB Stuttgart,1,1,D,,,,,,,,,,,,,,,,,,,,,
