Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,,,,,,,,,,,
D2,30/03/98,Nurnberg,Meppen,4,0,H,1,0,H,,,,,,,,,,,
D2,03/04/98,Eintracht Frankfurt,CZ Jena,2,2,D,0,2,A,,,,,,,,,,,
D2,03/04/98,Meppen,SC Freiburg,0,5,A,0,1,A,,,,,,,,,,,
D2,03/04/98,Zwickau,Dusseldorf,0,1,A,0,0,D,,,,,,,,,,,
D2,05/04/98,SpVgg Greuther Fürth,Energie Cottbus,1,0,H,0,0,D,,,,,,,,,,,
D2,05/04/98,Gutersloh,F Koln,1,0,H,1,0,H,,,,,,,,,,,
D2,05/04/98,Mainz,Wattenscheid,1,3,A,1,0,H,,,,,,,,,,,
D2,05/04/98,St Pauli,VfB Stuttgarter K,0,0,D,0,0,D,,,,,,,,,,,
D2,05/04/98,Uerdingen,Leipzig,0,1,A,0,1,A,,,,,,,,,,,
D2,06/04/98,Unterhaching,Nurnberg,2,2,D,1,0,H,,,,,,,,,,,
D2,09/04/98,Eintracht Frankfurt,Gutersloh,0,0,D,0,0,D,,,,,,,,,,,
D2,09/04/98,Leipzig,Meppen,0,0,D,0,0,D,,,,,,,,,,,
D2,09/04/98,Nurnberg,SpVgg Greuther Fürth,0,1,A,0,0,D,,,,,,,,,,,
D2,11/04/98,Wattenscheid,Zwickau,2,1,H,1,1,D,,,,,,,,,,,
D2,12/04/98,CZ Jena,Uerdingen,0,3,A,0,0,D,,,,,,,,,,,
D2,12/04/98,Dusseldorf,F Koln,2,3,A,1,1,D,,,,,,,,,,,
D2,12/04/98,SC Freiburg,Unterhaching,1,1,D,1,0,H,,,,,,,,,,,
D2,12/04/98,VfB Stuttgarter K,Mainz,1,2,A,0,1,A,,,,,,,,,,,
D2,13/04/98,Energie Cottbus,St Pauli,0,0,D,0,0,D,,,,,,,,,,,
D2,15/04/98,Gutersloh,Zwickau,5,0,H,2,0,H,,,,,,,,,,,
D2,15/04/98,VfB Stuttgarter K,Meppen,2,1,H,1,1,D,,,,,,,,,,,
D2,17/04/98,Mainz,Energie Cottbus,0,0,D,0,0,D,,,,,,,,,,,
D2,17/04/98,St Pauli,Nurnberg,0,0,D,0,0,D,,,,,,,,,,,
D2,17/04/98,Unterhaching,Leipzig,1,1,D,1,0,H,,,,,,,,,,,
D2,19/04/98,F Koln,Wattenscheid,3,2,H,1,0,H,,,,,,,,,,,
D2,19/04/98,SpVgg Greuther Fürth,SC Freiburg,1,1,D,0,0,D,,,,,,,,,,,
D2,19/04/98,Gutersloh,Dusseldorf,2,1,H,1,0,H,,,,,,,,,,,
D2,19/04/98,Meppen,CZ Jena,0,2,A,0,1,A,,,,,,,,,,,
D2,19/04/98,Zwickau,VfB Stuttgarter K,0,1,A,0,1,A,,,,,,,,,,,
D2,20/04/98,Uerdingen,Eintracht Frankfurt,0,1,A,0,0,D,,,,,,,,,,,
D2,24/04/98,VfB Stuttgarter K,F Koln,1,1,D,1,0,H,,,,,,,,,,,
D2,24/04/98,Uerdingen,Gutersloh,0,3,A,0,1,A,,,,,,,,,,,
D2,24/04/98,Wattenscheid,Dusseldorf,4,0,H,1,0,H,,,,,,,,,,,
D2,26/04/98,Energie Cottbus,Zwickau,2,1,H,2,1,H,,,,,,,,,,,
D2,26/04/98,Eintracht Frankfurt,Meppen,1,0,H,1,0,H,,,,,,,,,,,
D2,26/04/98,Leipzig,SpVgg Greuther Fürth,2,0,H,2,0,H,,,,,,,,,,,
D2,26/04/98,Nurnberg,Mainz,1,0,H,0,0,D,,,,,,,,,,,
D2,27/04/98,SC Freiburg,St Pauli,0,0,D,0,0,D,,,,,,,,,,,
D2,29/04/98,CZ Jena,Unterhaching,2,3,A,2,0,H,,,,,,,,,,,
D2,01/05/98,Mainz,SC Freiburg,0,1,A,0,0,D,,,,,,,,,,,
D2,01/05/98,Meppen,Uerdingen,2,3,A,0,0,D,,,,,,,,,,,
D2,01/05/98,St Pauli,Leipzig,1,0,H,1,0,H,,,,,,,,,,,
D2,03/05/98,Dusseldorf,VfB Stuttgarter K,0,1,A,0,0,D,,,,,,,,,,,
D2,03/05/98,F Koln,Energie Cottbus,2,0,H,1,0,H,,,,,,,,,,,
D2,03/05/98,SpVgg Greuther Fürth,CZ Jena,3,0,H,1,0,H,,,,,,,,,,,
D2,03/05/98,Gutersloh,Wattenscheid,0,0,D,0,0,D,,,,,,,,,,,
D2,03/05/98,Unterhaching,Eintracht Frankfurt,1,2,A,0,0,D,,,,,,,,,,,
D2,04/05/98,Zwickau,Nurnberg,2,3,A,1,1,D,,,,,,,,,,,
D2,08/05/98,CZ Jena,St Pauli,1,1,D,0,1,A,,,,,,,,,,,
D2,08/05/98,SC Freiburg,Zwickau,1,3,A,1,0,H,,,,,,,,,,,
D2,08/05/98,VfB Stuttgarter K,Wattenscheid,2,0,H,1,0,H,,,,,,,,,,,
D2,10/05/98,Energie Cottbus,Dusseldorf,2,1,H,0,1,A,,,,,,,,,,,
D2,10/05/98,Eintracht Frankfurt,SpVgg Greuther Fürth,1,1,D,0,0,D,,,,,,,,,,,
D2,10/05/98,Leipzig,Mainz,1,3,A,0,1,A,,,,,,,,,,,
D2,10/05/98,Nurnberg,F Koln,1,1,D,0,1,A,,,,,,,,,,,
D2,10/05/98,Uerdingen,Unterhaching,2,2,D,0,0,D,,,,,,,,,,,
