Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,,,,,,,,,,,,,,,,,,,,,
D1,06/11/93,Eintracht Frankfurt,Borussia Dortmund,2,0,H,,,,,,,,,,,,,,,,,,,,,
D1,06/11/93,FC Cologne,Werder Bremen,2,0,H,,,,,,,,,,,,,,,,,,,,,
D1,06/11/93,SC Freiburg,VfB Stuttgart,2,1,H,,,,,,,,,,,,,,,,,,,,,
D1,06/11/93,Kaiserslautern,Wattenscheid,4,1,H,,,,,,,,,,,,,,,,,,,,,
D1,06/11/93,Karlsruher SC,MSV Duisburg,5,0,H,,,,,,,,,,,,,,,,,,,,,
D1,06/11/93,Borussia Monchengladbach,Hamburg SV,2,2,D,,,,,,,,,,,,,,,,,,,,,
D1,06/11/93,Nurnberg,Bayern Munich,2,0,H,,,,,,,,,,,,,,,,,,,,,
D1,06/11/93,Schalke 04,Leipzig,3,1,H,,,,,,,,,,,,,,,,,,,,,
D1,13/11/93,Bayern Munich,Karlsruher SC,1,0,H,,,,,,,,,,,,,,,,,,,,,
D1,13/11/93,Borussia Dortmund,Kaiserslautern,2,1,H,,,,,,,,,,,,,,,,,,,,,
D1,13/11/93,MSV Duisburg,Schalke 04,1,0,H,,,,,,,,,,,,,,,,,,,,,
D1,13/11/93,FC Cologne,Borussia Monchengladbach,0,4,A,,,,,,,,,,,,,,,,,,,,,
D1,13/11/93,Hamburg SV,Eintracht Frankfurt,3,0,H,,,,,,,,,,,,,,,,,,,,,
D1,13/11/93,Leipzig,SC Freiburg,2,2,D,,,,,,,,,,,,,,,,,,,,,
D1,13/11/93,VfB Stuttgart,Bayer Leverkusen,1,4,A,,,,,,,,,,,,,,,,,,,,,
D1,13/11/93,Wattenscheid,Nurnberg,2,1,H,,,,,,,,,,,,,,,,,,,,,
D1,13/11/93,Werder Bremen,Dresden,0,1,A,,,,,,,,,,,,,,,,,,,,,
D1,20/11/93,Dresden,VfB Stuttgart,1,0,H,,,,,,,,,,,,,,,,,,,,,
D1,20/11/93,Eintracht Frankfurt,FC Cologne,0,3,A,,,,,,,,,,,,,,,,,,,,,
D1,20/11/93,SC Freiburg,MSV Duisburg,1,2,A,,,,,,,,,,,,,,,,,,,,,
D1,20/11/93,Kaiserslautern,Hamburg SV,3,0,H,,,,,,,,,,,,,,,,,,,,,
D1,20/11/93,Karlsruher SC,Wattenscheid,2,0,H,,,,,,,,,,,,,,,,,,,,,
D1,20/11/93,Bayer Leverkusen,Leipzig,3,1,H,,,,,,,,,,,,,,,,,,,,,
D1,20/11/93,Borussia Monchengladbach,Werder Bremen,3,2,H,,,,,,,,,,,,,,,,,,,,,
D1,20/11/93,Nurnberg,Borussia Dortmund,0,0,D,,,,,,,,,,,,,,,,,,,,,
D1,20/11/93,Schalke 04,Bayern Munich,1,1,D,,,,,,,,,,,,,,,,,,,,,
D1,27/11/93,Dresden,Leipzig,1,0,H,,,,,,,,,,,,,,,,,,,,,
D1,27/11/93,Eintracht Frankfurt,Borussia Monchengladbach,0,3,A,,,,,,,,,,,,,,,,,,,,,
D1,27/11/93,SC Freiburg,Bayern Munich,3,1,H,,,,,,,,,,,,,,,,,,,,,
D1,27/11/93,Kaiserslautern,FC Cologne,3,0,H,,,,,,,,,,,,,,,,,,,,,
D1,27/11/93,Karlsruher SC,Borussia Dortmund,3,3,D,,,,,,,,,,,,,,,,,,,,,
D1,27/11/93,Bayer Leverkusen,MSV Duisburg,2,1,H,,,,,,,,,,,,,,,,,,,,,
D1,27/11/93,Nurnberg,Hamburg SV,0,1,A,,,,,,,,,,,,,,,,,,,,,
D1,27/11/93,Schalke 04,Wattenscheid,4,1,H,,,,,,,,,,,,,,,,,,,,,
D1,27/11/93,VfB Stuttgart,Werder Bremen,0,0,D,,,,,,,,,,,,,,,,,,,,,
D1,04/12/93,Bayern Munich,Bayer Leverkusen,1,1,D,,,,,,,,,,,,,,,,,,,,,
D1,04/12/93,Borussia Dortmund,Schalke 04,1,1,D,,,,,,,,,,,,,,,,,,,,,
D1,04/12/93,MSV Duisburg,Dresden,1,1,D,,,,,,,,,,,,,,,,,,,,,
D1,04/12/93,FC Cologne,Nurnberg,0,1,A,,,,,,,,,,,,,,,,,,,,,
D1,04/12/93,Hamburg SV,Karlsruher SC,1,1,D,,,,,,,,,,,,,,,,,,,,,
D1,04/12/93,Leipzig,VfB Stuttgart,0,0,D,,,,,,,,,,,,,,,,,,,,,
D1,04/12/93,Borussia Monchengladbach,Kaiserslautern,3,1,H,,,,,,,,,,,,,,,,,,,,,
D1,04/12/93,Wattenscheid,SC Freiburg,3,1,H,,,,,,,,,,,,,,,,,,,,,
D1,04/12/93,Werder Bremen,Eintracht Frankfurt,1,0,H,,,,,,,,,,,,,,,,,,,,,
D1,11/12/93,Dresden,Bayern Munich,1,1,D,,,,,,,,,,,,,,,,,,,,,
D1,11/12/93,SC Freiburg,Borussia Dortmund,4,1,H,,,,,,,,,,,,,,,,,,,,,
D1,11/12/93,Kaiserslautern,Eintracht Frankfurt,1,1,D,,,,,,,,,,,,,,,,,,,,,
D1,11/12/93,Karlsruher SC,FC Cologne,2,0,H,,,,,,,,,,,,,,,,,,,,,
D1,11/12/93,Leipzig,Werder Bremen,1,1,D,,,,,,,,,,,,,,,,,,,,,
D1,11/12/93,Bayer Leverkusen,Wattenscheid,1,1,D,,,,,,,,,,,,,,,,,,,,,
D1,11/12/93,Nurnberg,Borussia Monchengladbach,2,4,A,,,,,,,,,,,,,,,,,,,,,
D1,11/12/93,Schalke 04,Hamburg SV,1,0,H,,,,,,,,,,,,,,,,,,,,,
D1,11/12/93,VfB Stuttgart,MSV Duisburg,4,0,H,,,,,,,,,,,,,,,,,,,,,
D1,12/02/94,Bayern Munich,VfB Stuttgart,1,3,A,,,,,,,,,,,,,,,,,,,,,
D1,12/02/94,Borussia Dortmund,Bayer Leverkusen,1,0,H,,,,,,,,,,,,,,,,,,,,,
D1,12/02/94,MSV Duisburg,Leipzig,2,1,H,,,,,,,,,,,,,,,,,,,,,
D1,12/02/94,Eintracht Frankfurt,Nurnberg,1,1,D,,,,,,,,,,,,,,,,,,,,,
D1,12/02/94,FC Cologne,Schalke 04,1,1,D,,,,,,,,,,,,,,,,,,,,,
D1,12/02/94,Hamburg SV,SC Freiburg,1,1,D,,,,,,,,,,,,,,,,,,,,,
D1,12/02/94,Borussia Monchengladbach,Karlsruher SC,1,2,A,,,,,,,,,,,,,,,,,,,,,
D1,12/02/94,Wattenscheid,Dresden,1,1,D,,,,,,,,,,,,,,,,,,,,,
D1,12/02/94,Werder Bremen,Kaiserslautern,2,0,H,,,,,,,,,,,,,,,,,,,,,
D1,19/02/94,Dresden,Borussia Dortmund,3,0,H,,,,,,,,,,,,,,,,,,,,,
D1,19/02/94,MSV Duisburg,Werder Bremen,1,0,H,,,,,,,,,,,,,,,,,,,,,
D1,19/02/94,SC Freiburg,FC Cologne,2,4,A,,,,,,,,,,,,,,,,,,,,,
D1,19/02/94,Karlsruher SC,Eintracht Frankfurt,1,0,H,,,,,,,,,,,,,,,,,,,,,
D1,19/02/94,Leipzig,Bayern Munich,1,3,A,,,,,,,,,,,,,,,,,,,,,
D1,19/02/94,Bayer Leverkusen,Hamburg SV,1,2,A,,,,,,,,,,,,,,,,,,,,,
D1,19/02/94,Nurnberg,Kaiserslautern,0,2,A,,,,,,,,,,,,,,,,,,,,,
D1,19/02/94,Schalke 04,Borussia Monchengladbach,2,1,H,,,,,,,,,,,,,,,,,,,,,
D1,19/02/94,VfB Stuttgart,Wattenscheid,3,0,H,,,,,,,,,,,,,,,,,,,,,
D1,26/02/94,Bayern Munich,MSV Duisburg,4,0,H,,,,,,,,,,,,,,,,,,,,,
D1,26/02/94,Borussia Dortmund,VfB Stuttgart,1,2,A,,,,,,,,,,,,,,,,,,,,,
D1,26/02/94,Eintracht Frankfurt,Schalke 04,1,3,A,,,,,,,,,,,,,,,,,,,,,
D1,26/02/94,FC Cologne,Bayer Leverkusen,1,1,D,,,,,,,,,,,,,,,,,,,,,
D1,26/02/94,Hamburg SV,Dresden,1,1,D,,,,,,,,,,,,,,,,,,,,,
D1,26/02/94,Kaiserslautern,Karlsruher SC,0,0,D,,,,,,,,,,,,,,,,,,,,,
D1,26/02/94,Borussia Monchengladbach,SC Freiburg,1,1,D,,,,,,,,,,,,,,,,,,,,,
D1,26/02/94,Wattenscheid,Leipzig,2,2,D,,,,,,,,,,,,,,,,,,,,,
D1,26/02/94,Werder Bremen,Nurnberg,2,2,D,,,,,,,,,,,,,,,,,,,,,
D1,05/03/94,Bayern Munich,Werder Bremen,2,0,H,,,,,,,,,,,,,,,,,,,,,
D1,05/03/94,Dresden,FC Cologne,1,1,D,,,,,,,,,,,,,,,,,,,,,
D1,05/03/94,MSV Duisburg,Wattenscheid,2,1,H,,,,,,,,,,,,,,,,,,,,,
D1,05/03/94,SC Freiburg,Eintracht Frankfurt,1,3,A,,,,,,,,,,,,,,,,,,,,,
D1,05/03/94,Karlsruher SC,Nurnberg,3,2,H,,,,,,,,,,,,,,,,,,,,,
D1,05/03/94,Leipzig,Borussia Dortmund,2,3,A,,,,,,,,,,,,,,,,,,,,,
D1,05/03/94,Bayer Leverkusen,Borussia Monchengladbach,0,1,A,,,,,,,,,,,,,,,,,,,,,
D1,05/03/94,Schalke 04,Kaiserslautern,2,0,H,,,,,,,,,,,,,,,,,,,,,
D1,05/03/94,VfB Stuttgart,Hamburg SV,4,0,H,,,,,,,,,,,,,,,,,,,,,
D1,12/03/94,Borussia Dortmund,MSV Duisburg,2,1,H,,,,,,,,,,,,,,,,,,,,,
D1,12/03/94,Eintracht Frankfurt,Bayer Leverkusen,2,0,H,,,,,,,,,,,,,,,,,,,,,
D1,12/03/94,FC Cologne,VfB Stuttgart,3,1,H,,,,,,,,,,,,,,,,,,,,,
D1,12/03/94,Hamburg SV,Leipzig,3,0,H,,,,,,,,,,,,,,,,,,,,,
D1,12/03/94,Kaiserslautern,SC Freiburg,1,0,H,,,,,,,,,,,,,,,,,,,,,
D1,12/03/94,Borussia Monchengladbach,Dresden,2,1,H,,,,,,,,,,,,,,,,,,,,,
D1,12/03/94,Nurnberg,Schalke 04,1,0,H,,,,,,,,,,,,,,,,,,,,,
D1,12/03/94,Wattenscheid,Bayern Munich,1,3,A,,,,,,,,,,,,,,,,,,,,,
D1,12/03/94,Werder Bremen,Karlsruher SC,0,2,A,,,,,,,,,,,,,,,,,,,,,
D1,19/03/94,Bayern Munich,Borussia Dortmund,0,0,D,,,,,,,,,,,,,,,,,,,,,
D1,19/03/94,Dresden,Eintracht Frankfurt,0,4,A,,,,,,,,,,,,,,,,,,,,,
D1,19/03/94,MSV Duisburg,Hamburg SV,0,1,A,,,,,,,,,,,,,,,,,,,,,
D1,19/03/94,SC Freiburg,Nurnberg,0,0,D,,,,,,,,,,,,,,,,,,,,,
D1,19/03/94,Leipzig,FC Cologne,2,3,A,,,,,,,,,,,,,,,,,,,,,
D1,19/03/94,Bayer Leverkusen,Kaiserslautern,3,2,H,,,,,,,,,,,,,,,,,,,,,
D1,19/03/94,Schalke 04,Karlsruher SC,2,0,H,,,,,,,,,,,,,,,,,,,,,
