Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SOH,SOD,SOA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,B365>2.5,B365<2.5,
D1,15/09/02,VfL Bochum,Hansa Rostock,0,1,A,0,1,A,1.833,3.2,3.75,1.9,3.2,3.86,1.9,3.1,3.5,1.833,3.4,3.5,1.83,3.25,3.75,1.833,3.25,4,1.83,3.2,3.75,1.75,1.96,,,
D1,15/09/02,Hamburg SV,Kaiserslautern,2,0,H,0,0,D,2.1,3.2,3,2.12,3.2,3.3,2,3.1,3.2,2,3.4,3,2,3.25,3.25,2,3.2,3.4,2,3.1,3.3,1.7,2.05,,,
D1,21/09/02,Bayern Munich,Energie Cottbus,3,1,H,1,1,D,1.2,5,11,1.2,5.35,12.1,1.2,5,10,,,,1.17,6,10,1.167,6,13,1.2,5,11,1.5,2.25,,,
D1,21/09/02,Hannover,VfL Bochum,2,2,D,1,1,D,2.25,3.2,2.75,2.25,3.15,2.95,2.1,3,3.1,,,,2.2,3.2,2.88,2.25,3.2,2.875,2.2,3.2,2.8,1.65,2.06,,,
D1,21/09/02,Hansa Rostock,Borussia Dortmund,0,1,A,0,1,A,2.625,3.2,2.3,2.83,3.17,2.35,2.7,3,2.3,,,,2.63,3.2,2.38,2.7,3.2,2.375,2.7,3,2.37,1.9,1.85,,,
D1,21/09/02,Hertha Berlin,Hamburg SV,2,0,H,0,0,D,1.727,3.2,4.333,1.8,3.35,4.7,1.7,3.2,4.2,,,,1.73,3.25,4.33,1.75,3.25,4.333,1.66,3.3,4.5,1.63,2.05,,,
D1,21/09/02,Kaiserslautern,TSV Munich 1860,0,0,D,0,0,D,2,3,3.4,2.02,3.25,3.6,1.9,3.1,3.5,,,,2,3.25,3.25,2.05,3.25,3.25,2,3.1,3.3,1.72,2.05,,,
D1,21/09/02,Werder Bremen,Bayer Leverkusen,3,2,H,3,2,H,2.1,3.2,3,2.17,3.3,3.1,2.1,3,3.1,,,,2.2,3.2,2.88,2.2,3.25,2.875,2.3,3.1,2.75,1.65,2.2,,,
D1,21/09/02,VfL Wolfsburg,Nurnberg,0,2,A,0,0,D,1.615,3.25,5,1.62,3.5,5.63,1.55,3.5,4.8,,,,1.62,3.4,5,1.571,3.5,5.5,1.57,3.5,5,1.7,2,,,
D1,22/09/02,Schalke 04,Borussia Monchengladbach,2,1,H,2,1,H,1.615,3.25,5,1.6,3.45,6,1.6,3.4,4.6,,,,1.57,3.4,5.5,1.6,3.4,5.5,1.57,3.5,5,1.85,1.87,,,
D1,22/09/02,VfB Stuttgart,Arminia Bielefeld,3,0,H,1,0,H,1.667,3.25,4.5,1.7,3.4,4.7,1.7,3.2,4.2,,,,1.67,3.4,4.5,1.667,3.3,4.75,1.66,3.3,4.5,1.82,1.9,,,
D1,28/09/02,Arminia Bielefeld,Schalke 04,2,1,H,1,1,D,2.75,3.2,2.25,2.9,3.25,2.2,2.9,3,2.2,2.8,3.2,2.2,2.88,3.2,2.2,2.88,3.2,2.25,2.9,3.1,2.2,1.75,1.85,,,
D1,28/09/02,Energie Cottbus,VfL Wolfsburg,0,1,A,0,0,D,2.3,3.2,2.625,2.3,3.25,2.75,2.3,3,2.7,2.38,3.2,2.6,2.25,3.25,2.75,2.3,3.25,2.75,2.3,3.1,2.75,1.8,1.8,,,
D1,28/09/02,Borussia Dortmund,Borussia Monchengladbach,1,0,H,0,0,D,1.4,3.75,7,1.51,3.75,7,1.5,3.7,5,1.5,3.4,6,1.5,3.5,6,1.5,3.5,6.5,1.44,3.5,7,1.7,1.9,,,
D1,28/09/02,Hamburg SV,VfB Stuttgart,3,2,H,2,2,D,2,3.2,3.2,2.03,3.3,3.5,2,3.1,3.2,2,3.2,3.2,2,3.2,3.3,2,3.2,3.4,2,3.1,3.3,1.7,1.9,,,
D1,28/09/02,Hansa Rostock,Hannover,1,2,A,1,2,A,1.727,3.2,4.333,1.81,3.3,4.4,1.85,3.1,3.6,1.73,3.4,4,1.67,3.4,4.33,1.75,3.3,4.33,1.72,3.25,4.2,1.7,1.9,,,
D1,28/09/02,Bayer Leverkusen,Bayern Munich,2,1,H,1,0,H,3,3.2,2.1,3.3,3.2,2.25,3.1,3.2,2,3,3,2.2,3,3.25,2.1,3.1,3.25,2.1,3.2,3,2.1,1.65,1.95,,,
D1,28/09/02,TSV Munich 1860,Hertha Berlin,1,0,H,1,0,H,2.375,3.1,2.625,2.4,3.3,2.63,2.4,3,2.6,2.38,3.2,2.6,2.38,3.2,2.63,2.4,3.25,2.63,2.3,3.25,2.62,1.75,1.85,,,
D1,29/09/02,VfL Bochum,Werder Bremen,1,4,A,1,2,A,2.375,3.1,2.625,2.5,3.25,2.82,2.2,3,2.9,2.38,3.2,2.6,2.25,3.25,2.75,2.3,3.25,2.75,2.3,3.1,2.75,1.75,2.01,,,
D1,29/09/02,Nurnberg,Kaiserslautern,1,0,H,0,0,D,2.2,3.25,2.75,2.33,3.27,3.01,2.3,3,2.7,2.2,3.2,2.8,2.25,3.25,2.75,2.25,3.25,2.8,2.2,3.2,2.8,1.7,1.92,,,
D1,05/10/02,Bayern Munich,VfL Bochum,4,1,H,2,0,H,1.286,4.5,8,1.29,4.75,9.5,1.25,4.5,9,1.25,4.5,10,1.29,4.5,8.5,1.286,4.5,9.5,1.25,4.5,10,1.47,2.4,,,
D1,05/10/02,Hannover,Borussia Dortmund,0,3,A,0,1,A,3.2,3.2,2,3.21,3.3,2.07,3.2,3.1,2,3,3.2,2.1,3.2,3.1,2.1,3.6,3.2,1.909,3.3,3.1,2,1.7,1.95,,,
D1,05/10/02,Hertha Berlin,Nurnberg,2,1,H,0,1,A,1.571,3.5,5,1.56,3.6,5.65,1.5,3.7,5,1.57,3.5,5,1.53,3.5,5.5,1.533,3.5,6,1.53,3.4,5.5,1.7,1.95,,,
D1,05/10/02,Kaiserslautern,Energie Cottbus,4,0,H,1,0,H,1.667,3.25,4.5,1.65,3.4,5,1.5,3.7,5,1.73,3.4,4,1.67,3.4,4.5,1.571,3.4,5.5,1.66,3.3,4.5,1.7,1.95,,,
D1,05/10/02,Borussia Monchengladbach,Arminia Bielefeld,3,0,H,2,0,H,1.8,3.25,3.75,1.76,3.3,4.4,1.7,3.2,4.2,1.73,3.2,4.33,1.73,3.25,4.33,1.7,3.3,4.5,1.72,3.25,4.2,1.7,1.95,,,
D1,05/10/02,Schalke 04,Hamburg SV,3,0,H,3,0,H,1.571,3.5,5,1.56,3.6,5.65,1.6,3.4,4.6,1.53,3.5,5.5,1.57,3.5,5,1.571,3.5,5.5,1.57,3.3,5.5,1.65,2,,,
D1,05/10/02,VfL Wolfsburg,Bayer Leverkusen,2,0,H,1,0,H,2.375,3.1,2.625,2.52,3.25,2.7,2.3,3,2.7,2.38,3.2,2.6,2.5,3.2,2.5,2.5,3.25,2.5,2.6,3.1,2.4,1.65,2,,,
D1,06/10/02,VfB Stuttgart,TSV Munich 1860,4,1,H,0,1,A,2,3.2,3.2,1.97,3.3,3.65,2,3.1,3.2,1.91,3.2,3.5,2,3.2,3.3,2,3.2,3.4,2,3.1,3.3,1.7,1.9,,,
D1,06/10/02,Werder Bremen,Hansa Rostock,0,0,D,0,0,D,1.615,3.25,5,1.68,3.4,5,1.65,3.3,4.4,1.57,3.5,5,1.67,3.4,4.5,1.571,3.4,5.5,1.57,3.5,5,1.65,1.95,,,
D1,19/10/02,Energie Cottbus,Hertha Berlin,0,2,A,0,2,A,3,3.2,2.1,3.25,3.15,2.1,3,3.1,2.1,3.2,3.2,2,3.2,3.25,2.05,3.2,3.25,2.05,3,3,2.2,1.7,1.95,,,
D1,19/10/02,Borussia Dortmund,Arminia Bielefeld,0,0,D,0,0,D,1.3,4.333,8,1.31,4.6,8.5,1.25,4.5,9,1.29,4.33,9,1.3,4.33,8.5,1.3,4.5,9,1.3,4.2,8.5,1.55,2.2,,,
D1,19/10/02,Hamburg SV,Borussia Monchengladbach,1,0,H,0,0,D,2,3.2,3.2,1.96,3.2,3.75,2.1,3,3.1,1.91,3.2,3.5,1.91,3.25,3.6,1.909,3.25,3.6,1.9,3.2,3.5,1.65,1.97,,,
D1,19/10/02,Hannover,Werder Bremen,4,4,D,2,1,H,2.75,3.2,2.25,2.92,3.26,2.25,2.6,3,2.4,2.8,3.2,2.2,2.75,3.25,2.25,2.8,3.25,2.25,3,3,2.2,1.65,2.02,,,
D1,19/10/02,Hansa Rostock,Bayern Munich,0,1,A,0,0,D,3.75,3.3,1.8,4.55,3.41,1.77,3.8,3.1,1.8,3.75,3.25,1.8,4,3.25,1.8,4,3.3,1.8,3.75,3.2,1.83,1.7,1.95,,,
D1,19/10/02,Bayer Leverkusen,Kaiserslautern,1,0,H,1,0,H,1.615,3.25,5,1.62,3.56,5.2,1.6,3.4,4.6,1.57,3.5,5,1.57,3.4,5.5,1.571,3.5,5.5,1.57,3.3,5.5,1.62,2.22,,,
D1,19/10/02,TSV Munich 1860,Schalke 04,3,0,H,0,0,D,2.5,3.1,2.5,2.61,3.1,2.55,2.4,3,2.6,2.38,3.2,2.6,2.5,3.1,2.6,2.5,3.1,2.6,2.37,3.1,2.62,1.68,2,,,
D1,20/10/02,VfL Bochum,VfL Wolfsburg,4,2,H,1,2,A,2.3,3.2,2.625,2.45,3.15,2.77,2.2,3,2.9,2.38,3.2,2.6,2.38,3.2,2.62,2.375,3.2,2.7,2.3,3.25,2.62,1.75,1.94,,,
D1,20/10/02,Nurnberg,VfB Stuttgart,1,2,A,1,0,H,2.25,3.2,2.75,2.37,3.15,2.8,2.3,3,2.7,2.38,3.2,2.6,2.25,3.2,2.8,2.3,3.2,2.8,2.3,3.1,2.75,1.75,1.95,,,
D1,26/10/02,Bayern Munich,Hannover,3,3,D,1,2,A,1.167,5.5,11,1.23,5.5,11,1.25,4.5,9,1.2,5,11,1.2,5.5,10,1.2,5.5,10,1.2,5,11,1.47,2.53,,,
